inventory_sk,store_id,product_id,inventory_date,opening_stock,sold_qty,closing_stock,inventory_status,date_key
S005_INV_P019,S005,P019,2026-06-03,765,45,720,Healthy,20260603
S005_INV_P006,S005,P006,2026-06-03,556,173,383,Healthy,20260603
S005_INV_P007,S005,P007,2026-06-03,881,379,502,Healthy,20260603
S005_INV_P005,S005,P005,2026-06-03,759,230,529,Healthy,20260603
S005_INV_P013,S005,P013,2026-06-03,634,155,479,Healthy,20260603
S005_INV_P001,S005,P001,2026-06-03,761,603,158,Medium,20260603
S005_INV_P002,S005,P002,2026-06-03,813,320,493,Healthy,20260603
S005_INV_P003,S005,P003,2026-06-03,720,330,390,Healthy,20260603
S005_INV_P010,S005,P010,2026-06-03,879,148,731,Healthy,20260603
S005_INV_P018,S005,P018,2026-06-03,761,82,679,Healthy,20260603
S002_INV_P002,S002,P002,2026-06-03,720,430,290,Healthy,20260603
S002_INV_P004,S002,P004,2026-06-03,967,316,651,Healthy,20260603
S002_INV_P008,S002,P008,2026-06-03,507,233,274,Healthy,20260603
S002_INV_P020,S002,P020,2026-06-03,848,104,744,Healthy,20260603
S002_INV_P006,S002,P006,2026-06-03,566,179,387,Healthy,20260603
S002_INV_P011,S002,P011,2026-06-03,900,124,776,Healthy,20260603
S002_INV_P005,S002,P005,2026-06-03,969,197,772,Healthy,20260603
S002_INV_P007,S002,P007,2026-06-03,512,397,115,Medium,20260603
S002_INV_P009,S002,P009,2026-06-03,945,95,850,Healthy,20260603
S002_INV_P017,S002,P017,2026-06-03,788,27,761,Healthy,20260603
S002_INV_P019,S002,P019,2026-06-03,842,42,800,Healthy,20260603
S002_INV_P001,S002,P001,2026-06-03,682,536,146,Medium,20260603
S002_INV_P013,S002,P013,2026-06-03,689,200,489,Healthy,20260603
S002_INV_P016,S002,P016,2026-06-03,1000,67,933,Healthy,20260603
S002_INV_P018,S002,P018,2026-06-03,898,95,803,Healthy,20260603
S002_INV_P015,S002,P015,2026-06-03,811,80,731,Healthy,20260603
S002_INV_P010,S002,P010,2026-06-03,525,183,342,Healthy,20260603
S002_INV_P014,S002,P014,2026-06-03,637,89,548,Healthy,20260603
S002_INV_P003,S002,P003,2026-06-03,828,289,539,Healthy,20260603
S002_INV_P012,S002,P012,2026-06-03,641,107,534,Healthy,20260603
S001_INV_P009,S001,P009,2026-06-03,880,89,791,Healthy,20260603
S001_INV_P013,S001,P013,2026-06-03,848,95,753,Healthy,20260603
S001_INV_P020,S001,P020,2026-06-03,814,78,736,Healthy,20260603
S001_INV_P001,S001,P001,2026-06-03,563,476,87,Medium,20260603
S001_INV_P003,S001,P003,2026-06-03,689,226,463,Healthy,20260603
S001_INV_P005,S001,P005,2026-06-03,598,174,424,Healthy,20260603
S001_INV_P006,S001,P006,2026-06-03,727,129,598,Healthy,20260603
S001_INV_P010,S001,P010,2026-06-03,510,121,389,Healthy,20260603
S001_INV_P019,S001,P019,2026-06-03,917,36,881,Healthy,20260603
S001_INV_P016,S001,P016,2026-06-03,683,51,632,Healthy,20260603
S001_INV_P011,S001,P011,2026-06-03,888,104,784,Healthy,20260603
S001_INV_P004,S001,P004,2026-06-03,979,245,734,Healthy,20260603
S001_INV_P008,S001,P008,2026-06-03,613,223,390,Healthy,20260603
S001_INV_P018,S001,P018,2026-06-03,546,76,470,Healthy,20260603
S001_INV_P002,S001,P002,2026-06-03,736,273,463,Healthy,20260603
S001_INV_P012,S001,P012,2026-06-03,643,80,563,Healthy,20260603
S001_INV_P015,S001,P015,2026-06-03,863,68,795,Healthy,20260603
S001_INV_P017,S001,P017,2026-06-03,598,24,574,Healthy,20260603
S001_INV_P007,S001,P007,2026-06-03,504,321,183,Medium,20260603
S001_INV_P014,S001,P014,2026-06-03,971,64,907,Healthy,20260603
